     3.00           OBSERVATION DATA    G                   RINEX VERSION / TYPE
                    GMV                 20170106 001734 UTC PGM / RUN BY / DATE 
SWARM                                                       MARKER NAME         
SPACEBORNE                                                  MARKER TYPE         
NameOfObserver      ESA                                     OBSERVER / AGENCY   
123456              SWARM GPSR          TBD                 REC # / TYPE / VERS 
                    SWARM POD                               ANT # / TYPE        
 -5265383.2500  3906266.5400 -1896244.1300                  APPROX POSITION XYZ 
        0.0000        0.0000        0.0000                  ANTENNA: DELTA H/E/N
        0.0000        0.0000        0.0000                  ANTENNA: DELTA X/Y/Z
        0.0000        0.0000        0.0000                  ANTENNA: B.SIGHT XYZ
        0.0000        0.0000        0.0000                  CENTER OF MASS: XYZ 
G    8 L1C L2P C1C C1P C2P S1C S1P S2P                      SYS / # / OBS TYPES 
  2017     1     1    23     0   18.0000000     GPS         TIME OF FIRST OBS   
                                                            END OF HEADER       
G08 -18121402.089   -29205992.923    20485911.416    20485912.158    20485916.938          52.740 8        40.610 6        40.610 6
G16   8501954.563    -9014062.506    21136674.522    21136674.752    21136675.994          50.850 8        35.950 5        35.950 5
> 2017 01 02 01 19 29.9988122  0  8
G07  10668959.541    -8243923.480    25012497.537    25012498.118    25012499.659          35.490 5        14.320 2        14.320 2
G23 -20955871.899   -31789927.438    19972581.197    19972581.180    19972580.771          54.530 9        41.060 6        41.060 6
G09  -7019647.512   -20742728.093    22474753.353    22474753.882    22474757.000          44.270 7        26.950 4        26.950 4
G14     38248.016   -15159381.184    24098884.814           0.000    24098886.263          36.450 6         0.000          11.430 1
G26  -7121670.480   -20489236.636    23147053.844    23147054.149    23147059.848          43.650 7        27.600 4        27.600 4
G27 -23848451.239   -33699345.777    19383103.405    19383103.825    19383107.569          55.940 9        44.810 7        44.810 7
G08 -18385315.891   -29411640.003    20435690.289    20435691.014    20435695.678          52.860 8        40.820 6        40.820 6
G16   8816595.917    -8768887.474    21196548.910    21196549.186    21196550.417          50.610 8        35.590 5        35.590 5
> 2017 01 02 01 19 39.9988107  0  8
G07  10890602.613    -8071214.606    25054675.627    25054675.207    25054678.192          35.530 5        12.860 2        12.860 2
G23 -20908649.570   -31753130.836    19981567.402    19981567.374    19981566.954          54.580 9        41.130 6        41.130 6
G09  -6794117.656   -20566990.566    22517670.334    22517670.592    22517674.072          44.160 7        26.620 4        26.620 4
G14   -268502.093   -15398407.196    24040511.856    24040514.203    24040515.807          36.530 6        11.850 1        11.850 1
G26  -6816134.366   -20251156.599    23205194.980    23205196.141    23205200.846          43.340 7        26.860 4        26.860 4
G27 -23834495.672   -33688471.321    19385759.011    19385759.828    19385763.561          55.970 9        44.830 7        44.830 7
G08 -18643696.138   -29612975.235    20386522.096    20386522.895    20386527.658          52.960 8        41.040 6        41.040 6
G16   9135037.217    -8520751.441    21257146.342    21257146.457    21257147.867          50.370 8        35.440 5        35.440 5
